code_module,code_presentation,assessment_type,assessment_count,submission_count,avg_score,min_score,max_score,missing_score_count,late_submission_count,late_submission_rate,avg_days_submitted_before_or_after_due
AAA,2013J,Exam,1,0,,,,0,0,,
AAA,2013J,TMA,5,1633,69.43,0.0,98.0,2,386,0.2364,0.7
AAA,2014J,Exam,1,0,,,,0,0,,
AAA,2014J,TMA,5,1516,68.6,11.0,95.0,1,429,0.283,-0.33
BBB,2013B,CMA,5,5049,88.35,0.0,100.0,0,5029,0.996,4.02
BBB,2013B,Exam,1,0,,,,0,0,,
BBB,2013B,TMA,6,6207,71.55,0.0,100.0,16,1321,0.2128,0.49
BBB,2013J,CMA,5,6416,88.08,0.0,100.0,0,6295,0.9811,0.85
BBB,2013J,Exam,1,0,,,,0,0,,
BBB,2013J,TMA,6,7959,71.52,0.0,100.0,10,1401,0.176,-1.29
BBB,2014B,CMA,5,4493,87.67,0.0,100.0,0,4411,0.9817,1.02
BBB,2014B,Exam,1,0,,,,0,0,,
BBB,2014B,TMA,6,5500,71.83,0.0,100.0,17,1082,0.1967,-0.74
BBB,2014J,Exam,1,0,,,,0,0,,
BBB,2014J,TMA,5,7408,65.74,0.0,100.0,10,906,0.1223,-1.53
CCC,2014B,CMA,4,3920,69.43,0.0,100.0,0,3920,1.0,2.01
CCC,2014B,Exam,2,747,69.97,8.0,100.0,0,0,0.0,
CCC,2014B,TMA,4,2822,73.23,0.0,100.0,5,609,0.2158,0.28
CCC,2014J,CMA,4,5846,75.63,0.0,100.0,0,5767,0.9865,2.29
CCC,2014J,Exam,2,1168,68.23,10.0,100.0,0,0,0.0,
CCC,2014J,TMA,4,4437,75.43,0.0,100.0,6,871,0.1963,-1.19
DDD,2013B,CMA,7,5252,71.51,0.0,100.0,0,5219,0.9937,2.44
DDD,2013B,Exam,1,602,56.35,0.0,98.0,0,4,0.0066,-9.82
DDD,2013B,TMA,6,4519,69.37,0.0,100.0,18,684,0.1514,-0.87
DDD,2013J,Exam,1,968,65.01,7.0,100.0,0,0,0.0,-21.49
DDD,2013J,TMA,6,6968,70.23,0.0,100.0,8,988,0.1418,-2.62
DDD,2014B,Exam,1,524,69.1,4.0,100.0,0,3,0.0057,-6.06
DDD,2014B,TMA,6,4018,69.35,0.0,100.0,11,645,0.1605,-1.21
DDD,2014J,Exam,1,950,63.31,0.0,100.0,0,0,0.0,
DDD,2014J,TMA,6,7063,72.63,0.0,100.0,12,961,0.1361,-3.09
EEE,2013J,Exam,1,0,,,,0,0,,
EEE,2013J,TMA,4,2884,80.63,0.0,100.0,3,426,0.1477,0.16
EEE,2014B,Exam,1,0,,,,0,0,,
EEE,2014B,TMA,4,1780,79.75,0.0,100.0,2,286,0.1607,-0.09
EEE,2014J,Exam,1,0,,,,0,0,,
EEE,2014J,TMA,4,3229,82.46,0.0,100.0,2,442,0.1369,-1.18
FFF,2013B,CMA,7,6681,79.7,0.0,100.0,0,451,0.0675,-66.89
FFF,2013B,Exam,1,0,,,,0,0,,
FFF,2013B,TMA,5,5514,75.88,0.0,100.0,14,933,0.1692,-0.0
FFF,2013J,CMA,7,8847,79.92,0.0,100.0,0,481,0.0544,-77.79
FFF,2013J,Exam,1,0,,,,0,0,,
FFF,2013J,TMA,5,7393,73.8,0.0,100.0,12,1142,0.1545,-1.16
FFF,2014B,CMA,7,5549,78.57,0.0,100.0,0,343,0.0618,-72.88
FFF,2014B,Exam,1,0,,,,0,0,,
FFF,2014B,TMA,5,4647,74.42,0.0,100.0,11,682,0.1468,-1.08
FFF,2014J,CMA,7,8915,80.62,0.0,100.0,0,556,0.0624,-83.77
FFF,2014J,Exam,1,0,,,,0,0,,
FFF,2014J,TMA,5,7269,76.39,0.0,100.0,9,1113,0.1531,-1.73
GGG,2013J,CMA,6,3749,87.19,0.0,100.0,0,184,0.0491,-51.57
GGG,2013J,Exam,1,0,,,,0,0,,
GGG,2013J,TMA,3,2201,68.47,0.0,100.0,1,377,0.1713,-1.65
GGG,2014B,CMA,6,3063,85.75,0.0,100.0,0,207,0.0676,-48.6
GGG,2014B,Exam,1,0,,,,0,0,,
GGG,2014B,TMA,3,1833,69.23,0.0,100.0,1,301,0.1642,-2.31
GGG,2014J,CMA,6,2747,85.87,0.0,100.0,0,128,0.0466,-50.8
GGG,2014J,Exam,1,0,,,,0,0,,
GGG,2014J,TMA,3,1626,67.61,0.0,99.0,2,335,0.206,-1.68
