code_module,code_presentation,id_student,final_result,total_clicks,avg_score,missing_assessment_count,late_submission_count,low_engagement_flag,low_score_flag,missing_assessment_flag,at_risk_indicator,risk_reason_count,risk_reason_summary
AAA,2013J,11391,Pass,934,82.0,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,28400,Pass,1435,66.4,0,2,0,0,0,0,0,No Flag
AAA,2013J,30268,Withdrawn,281,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,31604,Pass,2158,76.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,32885,Pass,1034,54.4,0,5,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,38053,Pass,2445,68.0,0,1,0,0,0,0,0,No Flag
AAA,2013J,45462,Pass,1492,68.0,0,2,0,0,0,0,0,No Flag
AAA,2013J,45642,Pass,1428,72.4,0,2,0,0,0,0,0,No Flag
AAA,2013J,52130,Pass,1894,71.4,0,1,0,0,0,0,0,No Flag
AAA,2013J,53025,Pass,3158,78.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,57506,Pass,1319,74.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,58873,Pass,1732,73.2,0,1,0,0,0,0,0,No Flag
AAA,2013J,59185,Pass,1102,78.6,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,62155,Pass,3388,76.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,63400,Pass,2737,71.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,65002,Withdrawn,171,67.0,3,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,70464,Pass,1053,55.6,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,71361,Pass,2327,80.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,74372,Fail,116,48.5,1,2,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,75091,Pass,2992,66.0,0,1,0,0,0,0,0,No Flag
AAA,2013J,77367,Pass,680,70.4,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,91265,Pass,1494,70.8,0,5,0,0,0,0,0,No Flag
AAA,2013J,94961,Withdrawn,339,74.0,4,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,98094,Pass,2839,60.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,100893,Pass,744,68.4,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,101781,Pass,4104,72.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,102806,Pass,1944,78.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,102952,Pass,1150,76.6,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,104476,Pass,4777,79.6,0,2,0,0,0,0,0,No Flag
AAA,2013J,106247,Withdrawn,465,60.0,2,2,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,106577,Pass,733,53.4,0,1,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,110175,Pass,998,63.4,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,111717,Pass,2343,81.0,2,0,0,0,1,1,1,Missing Assessment
AAA,2013J,113295,Pass,3553,77.6,0,3,0,0,0,0,0,No Flag
AAA,2013J,114017,Pass,757,71.8,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,114999,Pass,1358,72.8,0,2,0,0,0,0,0,No Flag
AAA,2013J,116541,Pass,1886,62.4,0,4,0,0,0,0,0,No Flag
AAA,2013J,116692,Pass,1108,74.2,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,118983,Pass,284,61.8,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,123044,Pass,2041,71.4,0,1,0,0,0,0,0,No Flag
AAA,2013J,127582,Pass,1321,69.6,0,3,0,0,0,0,0,No Flag
AAA,2013J,129955,Withdrawn,1011,81.0,2,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,132976,Pass,520,67.4,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,134143,Distinction,2732,84.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,135335,Withdrawn,57,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,135400,Withdrawn,287,61.5,3,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,137873,Pass,5528,80.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,141355,Pass,1823,72.6,0,1,0,0,0,0,0,No Flag
AAA,2013J,141377,Withdrawn,143,45.0,4,1,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,142326,Pass,2121,73.6,0,1,0,0,0,0,0,No Flag
AAA,2013J,144801,Pass,5645,68.8,0,2,0,0,0,0,0,No Flag
AAA,2013J,145130,Pass,452,54.4,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,146188,Fail,597,50.0,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,147756,Fail,611,73.75,1,2,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,147793,Withdrawn,155,52.0,4,1,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
