code_module,code_presentation,total_students,registered_students,withdrawn_students,pass_students,fail_students,distinction_students,withdrawal_rate,pass_rate
AAA,2013J,383,383,60,258,45,20,0.1567,0.7258
AAA,2014J,365,365,66,229,46,24,0.1808,0.6932
BBB,2013B,1767,1766,505,648,459,155,0.2858,0.4544
BBB,2013J,2237,2235,644,896,521,176,0.2879,0.4792
BBB,2014B,1613,1608,490,561,396,166,0.3038,0.4507
BBB,2014J,2292,2291,749,972,391,180,0.3268,0.5026
CCC,2014B,1936,1931,898,471,375,192,0.4638,0.3425
CCC,2014J,2498,2495,1077,709,406,306,0.4311,0.4063
DDD,2013B,1303,1299,432,456,361,54,0.3315,0.3914
DDD,2013J,1938,1933,681,731,428,98,0.3514,0.4278
DDD,2014B,1228,1225,490,360,259,119,0.399,0.3901
DDD,2014J,1803,1800,647,680,364,112,0.3588,0.4393
EEE,2013J,1052,1050,243,482,200,127,0.231,0.5789
EEE,2014B,694,694,173,285,164,72,0.2493,0.5144
EEE,2014J,1188,1188,306,527,198,157,0.2576,0.5758
FFF,2013B,1614,1611,411,664,421,118,0.2546,0.4845
FFF,2013J,2283,2282,675,908,513,187,0.2957,0.4796
FFF,2014B,1500,1495,462,547,384,107,0.308,0.436
FFF,2014J,2365,2363,855,859,393,258,0.3615,0.4723
GGG,2013J,952,952,66,451,294,141,0.0693,0.6218
GGG,2014B,833,833,100,350,255,128,0.12,0.5738
GGG,2014J,749,749,126,317,179,127,0.1682,0.5928
