code_module,code_presentation,id_student,total_clicks,active_days,unique_sites_visited,avg_clicks_per_active_day,engagement_bucket
AAA,2013J,11391,934,40,55,23.35,Low
AAA,2013J,28400,1435,80,84,17.94,Medium
AAA,2013J,30268,281,12,22,23.42,Low
AAA,2013J,31604,2158,123,82,17.54,Medium
AAA,2013J,32885,1034,70,66,14.77,Low
AAA,2013J,38053,2445,143,88,17.1,High
AAA,2013J,45462,1492,90,59,16.58,Medium
AAA,2013J,45642,1428,105,66,13.6,Medium
AAA,2013J,52130,1894,122,76,15.52,Medium
AAA,2013J,53025,3158,142,80,22.24,High
AAA,2013J,57506,1319,90,76,14.66,Medium
AAA,2013J,58873,1732,120,74,14.43,Medium
AAA,2013J,59185,1102,61,52,18.07,Low
AAA,2013J,62155,3388,148,98,22.89,High
AAA,2013J,63400,2737,175,73,15.64,High
AAA,2013J,65002,171,11,25,15.55,Low
AAA,2013J,70464,1053,46,63,22.89,Low
AAA,2013J,71361,2327,135,81,17.24,Medium
AAA,2013J,74372,116,14,23,8.29,Low
AAA,2013J,75091,2992,122,100,24.52,High
AAA,2013J,77367,680,86,44,7.91,Low
AAA,2013J,91265,1494,125,60,11.95,Medium
AAA,2013J,94961,339,24,26,14.13,Low
AAA,2013J,98094,2839,91,91,31.2,High
AAA,2013J,100893,744,52,47,14.31,Low
AAA,2013J,101781,4104,144,99,28.5,High
AAA,2013J,102806,1944,177,75,10.98,Medium
AAA,2013J,102952,1150,58,69,19.83,Low
AAA,2013J,104476,4777,161,106,29.67,High
AAA,2013J,106247,465,33,43,14.09,Low
AAA,2013J,106577,733,47,50,15.6,Low
AAA,2013J,110175,998,70,68,14.26,Low
AAA,2013J,111717,2343,136,89,17.23,Medium
AAA,2013J,113295,3553,195,92,18.22,High
AAA,2013J,114017,757,50,39,15.14,Low
AAA,2013J,114999,1358,120,86,11.32,Medium
AAA,2013J,116541,1886,108,73,17.46,Medium
AAA,2013J,116692,1108,98,64,11.31,Low
AAA,2013J,118983,284,27,35,10.52,Low
AAA,2013J,123044,2041,127,75,16.07,Medium
AAA,2013J,127582,1321,89,64,14.84,Medium
AAA,2013J,129955,1011,83,51,12.18,Low
AAA,2013J,132976,520,32,47,16.25,Low
AAA,2013J,134143,2732,138,85,19.8,High
AAA,2013J,135335,57,10,8,5.7,Low
AAA,2013J,135400,287,24,28,11.96,Low
AAA,2013J,137873,5528,192,86,28.79,High
AAA,2013J,141355,1823,92,74,19.82,Medium
AAA,2013J,141377,143,9,21,15.89,Low
AAA,2013J,142326,2121,95,84,22.33,Medium
AAA,2013J,144801,5645,200,122,28.23,High
AAA,2013J,145130,452,35,48,12.91,Low
AAA,2013J,146188,597,32,53,18.66,Low
AAA,2013J,147756,611,74,40,8.26,Low
AAA,2013J,147793,155,9,17,17.22,Low
AAA,2013J,148993,1864,106,70,17.58,Medium
AAA,2013J,151358,270,20,31,13.5,Low
AAA,2013J,155550,1529,81,59,18.88,Medium
AAA,2013J,155854,4003,202,96,19.82,High
AAA,2013J,155984,908,44,44,20.64,Low
AAA,2013J,157568,1405,87,62,16.15,Medium
AAA,2013J,159954,1185,66,58,17.95,Low
AAA,2013J,164259,466,51,41,9.14,Low
AAA,2013J,167906,1510,99,75,15.25,Medium
AAA,2013J,168936,745,42,47,17.74,Low
AAA,2013J,172112,1939,135,84,14.36,Medium
AAA,2013J,172797,1782,86,85,20.72,Medium
AAA,2013J,174782,6318,249,93,25.37,High
AAA,2013J,175392,4447,197,117,22.57,High
AAA,2013J,175932,2016,97,60,20.78,Medium
AAA,2013J,175991,138,17,17,8.12,Low
AAA,2013J,180753,2012,157,83,12.82,Medium
AAA,2013J,181316,487,20,37,24.35,Low
AAA,2013J,183096,1975,116,83,17.03,Medium
AAA,2013J,183947,964,58,69,16.62,Low
AAA,2013J,184271,1312,147,90,8.93,Medium
AAA,2013J,185439,427,15,36,28.47,Low
AAA,2013J,186149,2136,109,133,19.6,Medium
AAA,2013J,187100,8562,231,97,37.06,High
AAA,2013J,188278,1434,49,41,29.27,Medium
AAA,2013J,189879,1541,84,75,18.35,Medium
AAA,2013J,192183,3219,176,86,18.29,High
AAA,2013J,195262,1905,58,75,32.84,Medium
AAA,2013J,200860,534,81,42,6.59,Low
AAA,2013J,202635,1418,47,49,30.17,Medium
AAA,2013J,205350,1665,126,106,13.21,Medium
AAA,2013J,205719,333,32,35,10.41,Low
