code_module,code_presentation,final_result,student_count,percentage_of_presentation
AAA,2013J,Distinction,20,0.0522
AAA,2013J,Fail,45,0.1175
AAA,2013J,Pass,258,0.6736
AAA,2013J,Withdrawn,60,0.1567
AAA,2014J,Distinction,24,0.0658
AAA,2014J,Fail,46,0.126
AAA,2014J,Pass,229,0.6274
AAA,2014J,Withdrawn,66,0.1808
BBB,2013B,Distinction,155,0.0877
BBB,2013B,Fail,459,0.2598
BBB,2013B,Pass,648,0.3667
BBB,2013B,Withdrawn,505,0.2858
BBB,2013J,Distinction,176,0.0787
BBB,2013J,Fail,521,0.2329
BBB,2013J,Pass,896,0.4005
BBB,2013J,Withdrawn,644,0.2879
BBB,2014B,Distinction,166,0.1029
BBB,2014B,Fail,396,0.2455
BBB,2014B,Pass,561,0.3478
BBB,2014B,Withdrawn,490,0.3038
BBB,2014J,Distinction,180,0.0785
BBB,2014J,Fail,391,0.1706
BBB,2014J,Pass,972,0.4241
BBB,2014J,Withdrawn,749,0.3268
CCC,2014B,Distinction,192,0.0992
CCC,2014B,Fail,375,0.1937
CCC,2014B,Pass,471,0.2433
CCC,2014B,Withdrawn,898,0.4638
CCC,2014J,Distinction,306,0.1225
CCC,2014J,Fail,406,0.1625
CCC,2014J,Pass,709,0.2838
CCC,2014J,Withdrawn,1077,0.4311
DDD,2013B,Distinction,54,0.0414
DDD,2013B,Fail,361,0.2771
DDD,2013B,Pass,456,0.35
DDD,2013B,Withdrawn,432,0.3315
DDD,2013J,Distinction,98,0.0506
DDD,2013J,Fail,428,0.2208
DDD,2013J,Pass,731,0.3772
DDD,2013J,Withdrawn,681,0.3514
DDD,2014B,Distinction,119,0.0969
DDD,2014B,Fail,259,0.2109
DDD,2014B,Pass,360,0.2932
DDD,2014B,Withdrawn,490,0.399
DDD,2014J,Distinction,112,0.0621
DDD,2014J,Fail,364,0.2019
DDD,2014J,Pass,680,0.3771
DDD,2014J,Withdrawn,647,0.3588
EEE,2013J,Distinction,127,0.1207
EEE,2013J,Fail,200,0.1901
EEE,2013J,Pass,482,0.4582
EEE,2013J,Withdrawn,243,0.231
EEE,2014B,Distinction,72,0.1037
EEE,2014B,Fail,164,0.2363
EEE,2014B,Pass,285,0.4107
EEE,2014B,Withdrawn,173,0.2493
EEE,2014J,Distinction,157,0.1322
EEE,2014J,Fail,198,0.1667
EEE,2014J,Pass,527,0.4436
EEE,2014J,Withdrawn,306,0.2576
FFF,2013B,Distinction,118,0.0731
FFF,2013B,Fail,421,0.2608
FFF,2013B,Pass,664,0.4114
FFF,2013B,Withdrawn,411,0.2546
FFF,2013J,Distinction,187,0.0819
FFF,2013J,Fail,513,0.2247
FFF,2013J,Pass,908,0.3977
FFF,2013J,Withdrawn,675,0.2957
FFF,2014B,Distinction,107,0.0713
FFF,2014B,Fail,384,0.256
FFF,2014B,Pass,547,0.3647
FFF,2014B,Withdrawn,462,0.308
FFF,2014J,Distinction,258,0.1091
FFF,2014J,Fail,393,0.1662
FFF,2014J,Pass,859,0.3632
FFF,2014J,Withdrawn,855,0.3615
GGG,2013J,Distinction,141,0.1481
GGG,2013J,Fail,294,0.3088
GGG,2013J,Pass,451,0.4737
GGG,2013J,Withdrawn,66,0.0693
GGG,2014B,Distinction,128,0.1537
GGG,2014B,Fail,255,0.3061
GGG,2014B,Pass,350,0.4202
GGG,2014B,Withdrawn,100,0.12
GGG,2014J,Distinction,127,0.1696
GGG,2014J,Fail,179,0.239
GGG,2014J,Pass,317,0.4232
GGG,2014J,Withdrawn,126,0.1682
