code_module,code_presentation,activity_type,total_clicks,unique_students,unique_sites,avg_clicks_per_student
AAA,2013J,dataplus,1843,207,4,8.9
AAA,2013J,forumng,175513,374,15,469.29
AAA,2013J,glossary,327,87,2,3.76
AAA,2013J,homepage,140345,378,1,371.28
AAA,2013J,oucollaborate,241,115,2,2.1
AAA,2013J,oucontent,267482,378,68,707.62
AAA,2013J,resource,7365,372,95,19.8
AAA,2013J,subpage,39624,377,5,105.1
AAA,2013J,url,15754,358,17,44.01
AAA,2014J,dataplus,1555,177,4,8.79
AAA,2014J,forumng,161590,343,6,471.11
AAA,2014J,glossary,329,86,2,3.83
AAA,2014J,homepage,126375,357,1,353.99
AAA,2014J,oucollaborate,257,103,2,2.5
AAA,2014J,oucontent,255912,354,68,722.92
AAA,2014J,resource,7559,345,92,21.91
AAA,2014J,subpage,31958,354,5,90.28
AAA,2014J,url,12623,318,17,39.69
BBB,2013B,forumng,811107,1475,17,549.9
BBB,2013B,glossary,1906,521,1,3.66
BBB,2013B,homepage,291961,1530,1,190.82
BBB,2013B,oucontent,1375,839,1,1.64
BBB,2013B,ouelluminate,1433,451,1,3.18
BBB,2013B,quiz,93805,1338,5,70.11
BBB,2013B,resource,46552,1470,236,31.67
BBB,2013B,sharedsubpage,59,47,1,1.26
BBB,2013B,subpage,79867,1496,37,53.39
BBB,2013B,url,19846,1447,15,13.72
BBB,2013J,forumng,702326,1710,19,410.72
BBB,2013J,glossary,1916,559,1,3.43
BBB,2013J,homepage,344964,1866,1,184.87
BBB,2013J,oucollaborate,1144,458,2,2.5
BBB,2013J,oucontent,34877,1570,3,22.21
BBB,2013J,quiz,118688,1617,5,73.4
BBB,2013J,resource,54615,1765,236,30.94
BBB,2013J,sharedsubpage,64,42,1,1.52
BBB,2013J,subpage,81487,1816,37,44.87
BBB,2013J,url,38575,1750,15,22.04
BBB,2014B,forumng,406118,1160,17,350.1
BBB,2014B,glossary,860,284,1,3.03
BBB,2014B,homepage,201239,1290,1,156.0
BBB,2014B,oucollaborate,408,223,1,1.83
BBB,2014B,oucontent,27986,1084,3,25.82
BBB,2014B,quiz,82342,1140,5,72.23
BBB,2014B,resource,38458,1186,231,32.43
BBB,2014B,sharedsubpage,48,39,1,1.23
BBB,2014B,subpage,52739,1241,37,42.5
BBB,2014B,url,23667,1178,14,20.09
BBB,2014J,forumng,190169,1450,3,131.15
BBB,2014J,glossary,5138,904,2,5.68
BBB,2014J,homepage,298628,1917,1,155.78
BBB,2014J,oucollaborate,11004,1104,3,9.97
BBB,2014J,oucontent,857022,1882,70,455.38
BBB,2014J,questionnaire,6730,719,4,9.36
